"";"x"
"1";491232544,852475
"2";710917609,382453
"3";143633801,771031
"4";936854663,07392
"5";16820761,3819153
"6";22959406,1185876
"7";28862831,7087396
"8";60550429,5013802
"9";27484618,9610044
"10";368267347,862068
"11";246451904,03216
"12";101866912,25104
"13";21053282,6094377
"14";62051541,4542273
"15";1142988815,95552
"16";247116445,9629
"17";20737551,0884609
"18";11900050,9703707
"19";39036449,5684723
"20";18195449,9082622
"21";197356121,500811
"22";31924256,9632853
"23";45075402,386326
"24";73900182,3360738
"25";69691713
"26";59903922,5485172
"27";4837355,90064717
"28";264455972
"29";22069503,4676909
"30";11948805,6516518
"31";162207101,100303
"32";84702940,5579199
"33";881251011,807324
"34";88432808,6395465
"35";13286103,745954
"36";7973699,9472971
"37";11249892,9720828
"38";104792897,732584
"39";29542788,38923
"40";79373199,1246487
"41";23130228,5320961
"42";7588185,39137425
"43";77122158,134143
"44";198543751,544392
"45";6996752,62282615
"46";3855662,17792173
"47";5781217,67961443
"48";112948,238598701
"49";456332,415157425
"50";3443830,15408703
"51";128415,817867592
"52";5598757,33599535
"53";3351647,40457462
"54";241204
"55";568036,267158433
"56";141257
"57";101336,079359301
"58";1555375,08293123
"59";6439502,17406282
"60";12376711,6556562
"61";2290430453,6913
"62";14158589751,9549
"63";43031688,8209348
"64";14720101,6187392
"65";9693925,33313853
"66";46190347,0560201
"67";136330662,155961
"68";22981674,2846594
"69";36310623,7230215
"70";5057103,98312814
"71";13842490,4495036
"72";25191266,8916872
"73";4954055,27846052
"74";6680792,72603882
"75";55638179,270815
"76";3345951,99992833
"77";1105698,33995693
"78";3667986,26953093
"79";1083421,29205607
"80";2292234,27154375
"81";2112208,8083842
"82";153854853,617448
"83";7282365,19139377
"84";14730582,7129964
"85";33227996,0329683
"86";14894259,4196618
"87";6796130,96265995
"88";1827893,27642603
"89";1126285,03198909
"90";11469932,8190886
"91";29248833,6042769
"92";177052359,047623
"93";30933067,7942509
"94";25737586,4014499
"95";63283176,5009485
"96";23775524,3072593
"97";285282,031113148
"98";908782,937936511
"99";1450482,40210948
"100";60952814,1431506
"101";2751888,83598307
"102";734284379,407384
"103";63713330,9495689
"104";3076883,99461349
"105";59662700,6905376
"106";13593519,6541557
"107";110222260,540674
"108";97108018,2081107
"109";5775757,87705122
"110";18066072,0194617
"111";22302867,9897061
"112";10544822,174951
"113";-660178,893119753
"114";4558686,08666821
"115";1632167,84694485
"116";722318,95925667
"117";125512153,573871
"118";1741852001,14336
"119";961110823,977252
"120";690643081,047488
"121";7980111,92464343
"122";6372129,53358947
"123";340106,075169136
"124";83571443,7796809
"125";4191,99744414497
"126";478220,960583844
"127";1,94634288210167
"128";2062584,08592485
"129";183815,75619046
"130";3570552,67362158
"131";21168380,3211312
"132";477516,074362156
"133";0
"134";244503,413634486
"135";739230606,399287
"136";0
"137";2959472,44671805
"138";4515,99606049824
"139";6831,01393951411
"140";143731,443787334
"141";85634028,1984611
"142";235076,100745735
"143";109480,499020669
"144";58953,4145319783
"145";3417196
"146";2822204,92644596
"147";6934,88528344263
"148";1246835
"149";555,741027423339
"150";49741,2027234704
"151";3990759,33196494
"152";1428112
"153";5613233,30991843
"154";11737873,1904317
"155";1160844,90088189
"156";77982,1828367346
"157";0,922036896953837
"158";6926191,9167547
"159";0
"160";1201589,49980604
"161";2457555,43300179
"162";0
"163";1410114,99445993
"164";5861139,53587057
"165";2285687,59499838
"166";251128,183489883
"167";515036,864417141
"168";0
"169";46737,4123441106
"170";929,258086516673
"171";56,2387934540911
"172";3549,54329180572
"173";311
"174";8846
"175";608,008534366537
"176";150584
"177";0
"178";101830,917068774
"179";639206,068926052
"180";182451,063419179
"181";74151,9420852537
"182";2795766382,97658
"183";2145183,68643576
"184";226699,381260809
"185";483000
"186";15966554,3088973
"187";33254543,2308086
"188";97332,0440046449
"189";7010267,25601904
"190";66684,1286362984
"191";44681,4717012446
"192";29121,4118977889
"193";267401,002198325
"194";130814,28389557
"195";353498,078252228
"196";2001,79483118251
"197";0
"198";25,4901509455008
"199";15300
"200";82463,465918036
"201";96710,1910286978
"202";23817590,7089188
"203";87224,5802813485
"204";65850,1415772428
"205";51310,3905283824
"206";960929,554555016
"207";72299,8744773462
"208";1391,60646626228
"209";0
"210";243699,77636987
"211";276474,369693392
"212";13546982,0514485
"213";1250,99935143856
"214";697898,071636626
"215";20089220,8267001
"216";1107333,89640187
"217";42951,1872278895
"218";7965,155
"219";36437,1658905169
"220";5744956,18254221
"221";1374,95186544886
"222";32721257,1317845
"223";1816005,92290037
"224";22662,7019116619
"225";9588838,43527096
"226";115800
"227";3210062,11928715
"228";12419946,7071012
"229";23456,531115325
"230";1505813,71397429
"231";1355983,07732523
"232";963184,512948184
"233";262,776011106832
"234";33028,6715076273
"235";33081,7794335505
"236";3133,14762256499
"237";1453278,42357405
"238";118123005,856642
"239";46999717,0227482
"240";95630040,952512
